Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense,Expected Points,Expected Points,Expected Points
Week,Day,Date,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,OT,Rec,Unnamed: 8_level_1,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Mon,September 14,7:10PM ET,boxscore,W,,1-0,,Buffalo Bills,25.0,24.0,28.0,441.0,368.0,73.0,1.0,17.0,276.0,186.0,90.0,1.0,3.32,-8.95,2.17
2,Sun,September 20,1:02PM ET,boxscore,L,,1-1,@,New York Jets,9.0,16.0,18.0,299.0,216.0,83.0,1.0,14.0,254.0,137.0,117.0,1.0,-7.75,6.41,-7.46
3,Sun,September 27,1:02PM ET,boxscore,W,,2-1,,Atlanta Falcons,26.0,10.0,28.0,445.0,277.0,168.0,,13.0,257.0,199.0,58.0,1.0,18.68,1.34,-2.51
4,Sun,October 4,1:02PM ET,boxscore,W,,3-1,,Baltimore Ravens,27.0,21.0,25.0,319.0,234.0,85.0,1.0,24.0,363.0,247.0,116.0,2.0,8.81,-6.44,1.43
5,Sun,October 11,4:16PM ET,boxscore,L,OT,3-2,@,Denver Broncos,17.0,20.0,18.0,305.0,209.0,96.0,1.0,27.0,424.0,321.0,103.0,2.0,-0.02,-7.82,4.84
6,Sun,October 18,4:15PM ET,boxscore,W,,4-2,,Tennessee Titans,59.0,0.0,32.0,619.0,426.0,193.0,,9.0,186.0,-7.0,193.0,5.0,36.89,27.56,-7.42
7,Sun,October 25,1:06PM ET,boxscore,W,,5-2,@,Tampa Bay Buccaneers,35.0,7.0,18.0,414.0,307.0,107.0,2.0,10.0,240.0,151.0,89.0,3.0,5.48,25.62,-0.17
8,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
9,Sun,November 8,1:02PM ET,boxscore,W,,6-2,,Miami Dolphins,27.0,17.0,22.0,432.0,323.0,109.0,1.0,21.0,334.0,201.0,133.0,,14.93,-5.4,-1.34
10,Sun,November 15,8:31PM ET,boxscore,L,,6-3,@,Indianapolis Colts,34.0,35.0,24.0,477.0,364.0,113.0,2.0,25.0,407.0,316.0,91.0,2.0,8.97,-15.29,5.42
11,Sun,November 22,4:15PM ET,boxscore,W,,7-3,,New York Jets,31.0,14.0,27.0,410.0,299.0,111.0,1.0,12.0,226.0,122.0,104.0,5.0,7.52,20.17,-13.8
12,Mon,November 30,8:40PM ET,boxscore,L,,7-4,@,New Orleans Saints,17.0,38.0,23.0,366.0,244.0,122.0,3.0,18.0,480.0,367.0,113.0,1.0,2.22,-26.6,2.49
13,Sun,December 6,1:02PM ET,boxscore,L,,7-5,@,Miami Dolphins,21.0,22.0,18.0,448.0,352.0,96.0,2.0,24.0,416.0,328.0,88.0,1.0,7.11,-7.83,-2.59
14,Sun,December 13,1:02PM ET,boxscore,W,,8-5,,Carolina Panthers,20.0,10.0,26.0,377.0,192.0,185.0,3.0,14.0,305.0,179.0,126.0,,-2.15,6.47,5.88
15,Sun,December 20,1:02PM ET,boxscore,W,,9-5,@,Buffalo Bills,17.0,10.0,19.0,224.0,115.0,109.0,1.0,16.0,241.0,136.0,105.0,1.0,1.46,5.92,-3.22
16,Sun,December 27,1:02PM ET,boxscore,W,,10-5,,Jacksonville Jaguars,35.0,7.0,26.0,464.0,267.0,197.0,1.0,16.0,275.0,177.0,98.0,2.0,25.33,6.91,-5.54
17,Sun,January 3,1:02PM ET,boxscore,L,,10-6,@,Houston Texans,27.0,34.0,21.0,317.0,243.0,74.0,2.0,29.0,439.0,295.0,144.0,1.0,-1.26,-12.27,4.15
,,Playoffs,,,,,,,,,,,,,,,,,,,,,,
Wild Card,Sun,January 10,1:03PM ET,boxscore,L,,10-7,,Baltimore Ravens,14.0,33.0,15.0,196.0,132.0,64.0,4.0,16.0,268.0,34.0,234.0,2.0,-24.38,-2.55,6.06
